Trade Date   Trans Type   Inv Name   Share Price   Shares   Amt Traded
06/03/2008   Buy          VTSMX      22.57         5        112.85
07/01/2008   Buy          VTSMX      20.76         5        103.80
08/01/2008   Buy          VTSMX      20.87         5        104.35
09/03/2008   Buy          VTSMX      18.70         5        93.50
10/01/2008   Buy          VTSMX      20.13         5        100.65
11/01/2008   Buy          VTSMX      21.41         5        107.05
12/02/2008   Buy          VTSMX      20.07         5        100.35
01/02/2009   Buy          VTSMX      19.56         5        97.80
02/03/2009   Buy          VTSMX      19.23         5        96.15
03/03/2009   Buy          VTSMX      19.37         5        96.85
04/01/2009   Buy          VTSMX      20.96         5        104.80
05/01/2009   Sell         VTSMX      22.24         40       889.60
06/02/2009   Buy          VTSMX      22.49         5        112.45
07/01/2009   Buy          VTSMX      23.02         5        115.10
08/01/2009   Buy          VTSMX      23.57         5        117.85
09/02/2009   Buy          VTSMX      23.22         5        116.10
10/01/2009   Buy          VTSMX      24.64         5        123.20
11/03/2009   Buy          VTSMX      24.98         5        124.90
12/01/2009   Buy          VTSMX      25.99         5        129.95
01/02/2010   Buy          VTSMX      26.57         5        132.85
02/02/2010   Buy          VTSMX      26.95         5        134.75
03/01/2010   Buy          VTSMX      26.58         5        132.90
04/01/2010   Buy          VTSMX      26.02         5        130.10
05/03/2010   Sell         VTSMX      26.37         40       1054.80
06/01/2010   Buy          VTSMX      26.83         5        134.15
07/01/2010   Buy          VTSMX      25.81         5        129.05
08/02/2010   Buy          VTSMX      25.89         5        129.45
09/01/2010   Buy          VTSMX      26.25         5        131.25
10/01/2010   Buy          VTSMX      26.69         5        133.45
11/01/2010   Buy          VTSMX      27.94         5        139.70
12/01/2010   Buy          VTSMX      28.77         5        143.85
01/03/2011   Buy          VTSMX      28.00         5        140.00
02/01/2011   Buy          VTSMX      28.58         5        142.90
03/01/2011   Buy          VTSMX      27.98         5        139.90
04/01/2011   Buy          VTSMX      27.33         5        136.65
05/02/2011   Sell         VTSMX      28.36         40       1134.40
06/01/2011   Buy          VTSMX      28.50         5        142.50
07/01/2011   Buy          VTSMX      29.67         5        148.35
08/01/2011   Buy          VTSMX      29.40         5        147.00
09/01/2011   Buy          VTSMX      29.51         5        147.55
10/03/2011   Buy          VTSMX      28.96         5        144.80
11/01/2011   Buy          VTSMX      30.11         5        150.55
12/01/2011   Buy          VTSMX      30.00         5        150.00
01/03/2012   Buy          VTSMX      31.05         5        155.25
02/01/2012   Buy          VTSMX      31.05         5        155.25
03/01/2012   Buy          VTSMX      31.49         5        157.45
04/03/2012   Buy          VTSMX      31.84         5        159.20
05/01/2012   Sell         VTSMX      30.81         40       1232.40
06/01/2012   Buy          VTSMX      30.74         5        153.70
07/03/2012   Buy          VTSMX      30.70         5        153.50
08/01/2012   Buy          VTSMX      31.41         5        157.05
09/01/2012   Buy          VTSMX      32.00         5        160.00
10/02/2012   Buy          VTSMX      33.13         5        165.65
11/01/2012   Buy          VTSMX      33.87         5        169.35
12/01/2012   Buy          VTSMX      34.09         5        170.45
01/03/2013   Buy          VTSMX      34.73         5        173.65
02/01/2013   Buy          VTSMX      34.17         5        170.85
03/01/2013   Buy          VTSMX      34.41         5        172.05
04/02/2013   Buy          VTSMX      35.79         5        178.95
05/01/2013   Sell         VTSMX      37.11         40       1484.40
06/01/2013   Buy          VTSMX      36.36         5        181.80
07/02/2013   Buy          VTSMX      35.12         5        175.60
08/01/2013   Buy          VTSMX      35.63         5        178.15
09/04/2013   Buy          VTSMX      36.76         5        183.80
10/01/2013   Buy          VTSMX      37.44         5        187.20
11/01/2013   Buy          VTSMX      35.76         5        178.80
12/03/2013   Buy          VTSMX      35.36         5        176.80
01/02/2014   Buy          VTSMX      33.21         5        166.05
02/01/2014   Buy          VTSMX      32.19         5        160.95
03/03/2014   Buy          VTSMX      30.80         5        154.00
